,series,price_pixmania,price_idealo,price_diff,recomended_store,link_ipixmania,link_idealo
0,iphone-14-pro-max-256-go-noir-sideral,1264.0,1249.0,15.0,Idealo,https://www.pixmania.com/fr/fr/iphone-14-pro-max-256-go-noir-sideral-129939.html,https://www.idealo.fr/prix/202093749/apple-iphone-14-pro-max-256-go-noir-sideral.html
1,iphone-14-pro-max-128-go-or,1149.9,1177.0,27.1,Pixmania,https://www.pixmania.com/fr/fr/iphone-14-pro-max-128-go-or-129971.html,https://www.idealo.fr/prix/202093454/apple-iphone-14-pro-max-128-go-or.html
2,iphone-14-pro-max-128-go-violet-intense,1189.0,1169.0,20.0,Idealo,https://www.pixmania.com/fr/fr/iphone-14-pro-max-128-go-violet-intense-129964.html,https://www.idealo.fr/prix/202093447/apple-iphone-14-pro-max-128-go-violet-intense.html
3,iphone-14-pro-max-512-go-violet-intense,1299.9,1366.73,66.83,Pixmania,https://www.pixmania.com/fr/fr/iphone-14-pro-max-512-go-violet-intense-129961.html,https://www.idealo.fr/prix/202093450/apple-iphone-14-pro-max-512-go-violet-intense.html
4,iphone-14-pro-max-256-go-or,1304.0,1242.0,62.0,Idealo,https://www.pixmania.com/fr/fr/iphone-14-pro-max-256-go-or-129931.html,https://www.idealo.fr/prix/202093455/apple-iphone-14-pro-max-256-go-or.html
5,iphone-14-pro-max-256-go-violet-intense,1209.9,1299.0,89.1,Pixmania,https://www.pixmania.com/fr/fr/iphone-14-pro-max-256-go-violet-intense-129965.html,https://www.idealo.fr/prix/202093449/apple-iphone-14-pro-max-256-go-violet-intense.html
6,iphone-14-pro-max-128-go-noir-sideral,1119.9,1199.0,79.1,Pixmania,https://www.pixmania.com/fr/fr/iphone-14-pro-max-128-go-noir-sideral-129969.html,https://www.idealo.fr/prix/202093781/apple-iphone-14-pro-max-128-go-noir-sideral.html
7,iphone-14-pro-max-128-go-argent,1179.0,1097.34,81.66,Idealo,https://www.pixmania.com/fr/fr/iphone-14-pro-max-128-go-argent-129932.html,https://www.idealo.fr/prix/202093778/apple-iphone-14-pro-max-128-go-argent.html
8,iphone-14-pro-max-1-to-or,1949.74,1649.0,300.74,Idealo,https://www.pixmania.com/fr/fr/iphone-14-pro-max-1-to-or-129976.html,https://www.idealo.fr/prix/202093452/apple-iphone-14-pro-max-1-to-or.html
9,iphone-14-pro-max-512-go-noir-sideral,1339.0,1366.73,27.73,Pixmania,https://www.pixmania.com/fr/fr/iphone-14-pro-max-512-go-noir-sideral-129974.html,https://www.idealo.fr/prix/202093750/apple-iphone-14-pro-max-512-go-noir-sideral.html
10,iphone-14-pro-max-512-go-or,1745.58,1366.73,378.85,Idealo,https://www.pixmania.com/fr/fr/iphone-14-pro-max-512-go-or-129954.html,https://www.idealo.fr/prix/202093458/apple-iphone-14-pro-max-512-go-or.html
11,iphone-14-pro-max-512-go-argent,1379.0,1366.73,12.27,Idealo,https://www.pixmania.com/fr/fr/iphone-14-pro-max-512-go-argent-129938.html,https://www.idealo.fr/prix/202093459/apple-iphone-14-pro-max-512-go-argent.html
