link,series,price
https://www.pixmania.com/fr/fr/iphone-14-pro-max-256-go-argent-129973.html,"iPhone 14 Pro Max 256 Go, Argent",1209.9
https://www.pixmania.com/fr/fr/iphone-14-pro-max-256-go-noir-sideral-129939.html,,1264.0
https://www.pixmania.com/fr/fr/iphone-14-pro-max-128-go-or-129971.html,"iPhone 14 Pro Max 256 Go, Noir sidéral",1149.9
https://www.pixmania.com/fr/fr/iphone-14-pro-max-128-go-violet-intense-129964.html,,1149.0
https://www.pixmania.com/fr/fr/iphone-14-pro-max-512-go-violet-intense-129961.html,"iPhone 14 Pro Max 128 Go, Or",1299.9
https://www.pixmania.com/fr/fr/iphone-14-pro-max-256-go-or-129931.html,,1304.0
https://www.pixmania.com/fr/fr/iphone-14-pro-max-256-go-violet-intense-129965.html,"iPhone 14 Pro Max 128 Go, Violet intense",1209.9
https://www.pixmania.com/fr/fr/iphone-14-pro-max-128-go-noir-sideral-129969.html,,1119.9
https://www.pixmania.com/fr/fr/iphone-14-pro-max-128-go-argent-129932.html,"iPhone 14 Pro Max 512 Go, Violet intense",1179.0
https://www.pixmania.com/fr/fr/iphone-14-pro-max-1-to-or-129976.html,,1949.74
https://www.pixmania.com/fr/fr/iphone-14-pro-max-512-go-noir-sideral-129974.html,"iPhone 14 Pro Max 256 Go, Or",1339.0
https://www.pixmania.com/fr/fr/iphone-14-pro-max-1-to-argent-129972.html,,1602.9
https://www.pixmania.com/fr/fr/iphone-14-pro-max-512-go-or-129954.html,"iPhone 14 Pro Max 256 Go, Violet intense",1745.58
https://www.pixmania.com/fr/fr/iphone-14-pro-max-1-to-noir-sideral-129953.html,,2204.49
https://www.pixmania.com/fr/fr/iphone-14-pro-max-512-go-argent-129938.html,"iPhone 14 Pro Max 128 Go, Noir sidéral",1379.0
https://www.pixmania.com/fr/fr/iphone-14-pro-max-1-to-violet-intense-129935.html,,1419.9
