link,series,price
https://www.idealo.fr/prix/202093781/apple-iphone-14-pro-max-128-go-noir-sideral.html,Apple iPhone 14 Pro Max 128 Go noir sidéral,1199.0
https://www.idealo.fr/prix/202093749/apple-iphone-14-pro-max-256-go-noir-sideral.html,Apple iPhone 14 Pro Max 256 Go noir sidéral,1249.0
https://www.idealo.fr/prix/202093454/apple-iphone-14-pro-max-128-go-or.html,Apple iPhone 14 Pro Max 128 Go or,1177.0
https://www.idealo.fr/prix/202093778/apple-iphone-14-pro-max-128-go-argent.html,Apple iPhone 14 Pro Max 128 Go argent,1097.34
https://www.idealo.fr/prix/202093455/apple-iphone-14-pro-max-256-go-or.html,Apple iPhone 14 Pro Max 256 Go or,1242.0
https://www.idealo.fr/prix/202093447/apple-iphone-14-pro-max-128-go-violet-intense.html,Apple iPhone 14 Pro Max 128 Go violet intense,1169.0
https://www.idealo.fr/prix/202093452/apple-iphone-14-pro-max-1-to-or.html,Apple iPhone 14 Pro Max 1 To or,1649.0
https://www.idealo.fr/prix/202093750/apple-iphone-14-pro-max-512-go-noir-sideral.html,Apple iPhone 14 Pro Max 512 Go noir sidéral,1366.73
https://www.idealo.fr/prix/202093459/apple-iphone-14-pro-max-512-go-argent.html,Apple iPhone 14 Pro Max 512 Go argent,1366.73
https://www.idealo.fr/prix/202093458/apple-iphone-14-pro-max-512-go-or.html,Apple iPhone 14 Pro Max 512 Go or,1366.73
https://www.idealo.fr/prix/202093450/apple-iphone-14-pro-max-512-go-violet-intense.html,Apple iPhone 14 Pro Max 512 Go violet intense,1366.73
https://www.idealo.fr/prix/202093457/apple-iphone-14-pro-max-256-go-argent.html,Apple iPhone 14 Pro Max 256 Go argent,1249.0
