,link,series,price
0,https://www.idealo.fr/prix/202093781/apple-iphone-14-pro-max-128-go-noir-sideral.html,iphone-14-pro-max-128-go-noir-sideral,1199.0
1,https://www.idealo.fr/prix/202093749/apple-iphone-14-pro-max-256-go-noir-sideral.html,iphone-14-pro-max-256-go-noir-sideral,1249.0
2,https://www.idealo.fr/prix/202093778/apple-iphone-14-pro-max-128-go-argent.html,iphone-14-pro-max-128-go-argent,1097.34
3,https://www.idealo.fr/prix/202093454/apple-iphone-14-pro-max-128-go-or.html,iphone-14-pro-max-128-go-or,1177.0
4,https://www.idealo.fr/prix/202093455/apple-iphone-14-pro-max-256-go-or.html,iphone-14-pro-max-256-go-or,1242.0
5,https://www.idealo.fr/prix/202093447/apple-iphone-14-pro-max-128-go-violet-intense.html,iphone-14-pro-max-128-go-violet-intense,1169.0
6,https://www.idealo.fr/prix/202093449/apple-iphone-14-pro-max-256-go-violet-intense.html,iphone-14-pro-max-256-go-violet-intense,1299.0
7,https://www.idealo.fr/prix/202093459/apple-iphone-14-pro-max-512-go-argent.html,iphone-14-pro-max-512-go-argent,1366.73
8,https://www.idealo.fr/prix/202093450/apple-iphone-14-pro-max-512-go-violet-intense.html,iphone-14-pro-max-512-go-violet-intense,1366.73
9,https://www.idealo.fr/prix/202093452/apple-iphone-14-pro-max-1-to-or.html,iphone-14-pro-max-1-to-or,1649.0
10,https://www.idealo.fr/prix/202093750/apple-iphone-14-pro-max-512-go-noir-sideral.html,iphone-14-pro-max-512-go-noir-sideral,1366.73
11,https://www.idealo.fr/prix/202093458/apple-iphone-14-pro-max-512-go-or.html,iphone-14-pro-max-512-go-or,1366.73
